x_roll, y_pitch, z_yaw
0.0, 0.0, 0.0
2.71, 3.97, -42.3
2.36, 2.65, -42.21
2.17, 3.74, -42.57
2.25, 4.55, -42.41
2.18, 3.12, -42.46
2.49, 2.81, -42.64
2.43, 4.58, -42.66
2.2, 4.42, -42.9
2.08, 3.93, -42.97
2.09, 3.66, -43.11
2.04, 3.37, -42.98
2.0, 3.61, -42.68
1.94, 2.52, -42.64
1.95, 2.88, -44.29
2.1, 3.68, -44.01
2.03, 3.55, -43.8
2.09, 3.26, -43.59
2.04, 2.11, -43.24
2.1, 2.54, -43.07
2.14, 5.51, -43.14
1.96, 7.04, -43.71
2.19, 10.76, -44.49
2.49, 12.77, -45.45
2.47, 11.8, -45.73
2.28, 9.08, -46.35
2.14, 5.75, -45.98
2.04, 2.02, -44.84
1.98, 0.19, -43.91
1.91, 0.21, -43.12
1.95, 2.8, -42.73
2.06, 5.39, -42.43
2.15, 6.03, -42.84
2.16, 7.25, -43.08
2.1, 4.64, -43.28
2.03, 2.66, -43.03
1.95, 1.23, -42.6
1.96, 1.04, -42.23
1.98, 2.48, -42.03
2.05, 4.61, -42.37
2.09, 6.18, -42.83
2.01, 4.98, -42.9
2.01, 2.41, -43.09
2.06, 2.81, -42.79
1.78, 1.22, -42.51
1.9, 1.47, -44.67
1.98, 3.08, -44.24
2.04, 4.44, -44.0
2.11, 5.41, -44.03
2.02, 4.68, -43.93
1.99, 3.66, -43.7
2.01, 2.67, -43.35
1.99, 1.71, -43.29
2.1, 1.99, -42.64
2.06, 3.15, -42.62
2.22, 4.69, -42.63
2.05, 4.44, -42.61
2.05, 3.3, -42.74
2.01, 2.06, -42.55
1.99, 1.57, -42.33
2.04, 2.77, -42.35
2.1, 3.94, -42.6
2.11, 4.51, -43.28
2.11, 3.55, -44.47
2.02, 3.12, -44.21
2.03, 2.52, -44.03
2.13, 1.79, -43.52
2.09, 2.17, -43.01
1.97, 2.77, -42.88
2.01, 3.36, -42.86
1.99, 3.52, -42.85
1.89, 3.65, -42.94
1.95, 4.12, -43.01
2.06, 4.25, -43.05
2.08, 4.3, -43.14
2.0, 4.09, -43.14
2.01, 3.61, -43.12
2.04, 3.52, -43.15
2.06, 3.23, -43.1
2.05, 2.9, -43.05
2.03, 2.86, -43.01
2.0, 2.74, -42.93
2.0, 2.59, -42.88
1.97, 2.45, -42.84
2.02, 2.45, -42.79
2.02, 2.55, -42.77
1.99, 2.61, -42.77
2.05, 3.0, -42.32
2.01, 3.33, -42.35
2.08, 3.3, -42.4
2.02, 3.69, -42.48
2.03, 4.16, -42.55
2.04, 4.02, -42.61
2.07, 4.06, -42.67
2.02, 4.36, -42.72
2.04, 4.27, -42.79
2.04, 4.0, -42.85
2.06, 3.98, -43.07
2.08, 3.77, -43.11
2.15, 3.44, -43.24
2.09, 3.35, -43.21
2.21, 3.32, -43.17
2.03, 2.94, -43.17
2.01, 2.43, -43.55
2.07, 2.17, -44.64
2.06, 2.53, -44.39
2.0, 2.25, -44.16
1.98, 1.82, -43.99
2.01, 2.15, -43.87
1.99, 2.49, -43.7
2.03, 2.1, -43.52
2.0, 2.3, -43.45
2.05, 3.02, -43.4
2.03, 3.2, -43.34
1.98, 2.99, -43.33
1.98, 3.36, -43.31
2.02, 3.93, -43.29
1.98, 3.82, -43.27
2.04, 3.88, -43.25
2.02, 4.46, -43.25
2.07, 4.37, -43.24
2.04, 3.89, -43.19
2.07, 4.09, -43.23
2.07, 4.19, -43.25
2.07, 3.7, -43.19
1.99, 3.29, -43.16
2.0, 3.42, -43.23
2.06, 3.12, -43.16
2.02, 2.56, -43.11
2.04, 2.76, -43.06
2.0, 2.96, -43.01
2.0, 2.28, -42.93
2.03, 2.27, -42.72
2.01, 2.75, -42.69
2.08, 2.54, -42.65
1.98, 2.31, -42.66
2.0, 2.88, -42.65
2.09, 3.1, -42.67
2.06, 2.88, -44.27
2.05, 3.08, -43.25
2.01, 3.56, -43.2
2.03, 3.4, -43.15
2.08, 3.43, -43.14
2.09, 4.01, -43.17
2.06, 3.85, -43.09
2.05, 3.61, -42.95
1.99, 3.88, -42.97
1.99, 3.85, -42.97
2.01, 3.58, -42.98
2.02, 3.62, -42.98
2.01, 3.6, -42.96
1.93, 3.23, -42.94
1.93, 3.09, -42.93
1.91, 3.13, -42.91
1.9, 2.98, -42.89
1.99, 2.72, -42.84
1.93, 2.87, -42.83
1.87, 2.82, -42.83
1.83, 2.58, -42.84
1.83, 2.83, -42.87
1.86, 3.01, -42.89
1.93, 2.86, -42.87
2.01, 3.08, -42.87
1.98, 3.35, -42.89
2.0, 3.24, -42.9
2.06, 3.28, -42.89
2.06, 3.69, -42.89
2.01, 3.72, -42.92
1.96, 3.57, -42.94
1.95, 3.8, -42.93
2.0, 3.84, -42.93
1.96, 3.57, -42.91
1.97, 3.7, -42.96
1.95, 3.76, -42.97
1.95, 3.42, -42.98
1.93, 3.3, -43.0
1.94, 3.42, -43.02
1.98, 3.32, -43.81
1.98, 3.03, -43.61
2.05, 3.18, -43.83
2.03, 3.05, -43.7
2.04, 2.79, -43.58
1.98, 2.92, -43.63
1.91, 3.05, -44.09
1.88, 2.72, -44.46
