x_roll, y_pitch, z_yaw
0.0, 0.0, 0.0
2.31, -0.06, -90.22
2.34, -0.04, -90.21
2.3, -0.05, -90.17
2.25, -0.03, -90.18
2.25, 0.02, -90.16
2.23, -0.02, -90.15
2.24, -0.04, -90.12
2.2, 0.02, -90.16
2.39, -0.1, -90.1
2.33, -0.1, -90.12
2.39, 0.08, -90.08
2.36, -0.09, -90.03
2.38, -0.03, -90.06
2.25, -0.1, -90.05
2.36, -0.11, -90.09
2.23, -0.06, -90.06
2.21, -0.14, -90.1
2.32, -0.15, -90.19
2.41, -0.08, -90.19
2.41, -0.08, -90.21
2.36, -0.12, -90.2
2.43, -0.12, -90.21
2.35, -0.14, -90.21
2.31, -0.16, -90.2
2.27, -0.18, -90.21
2.37, -0.1, -90.24
2.29, -0.13, -90.23
2.26, -0.18, -90.19
2.34, -0.17, -90.21
2.27, -0.18, -90.23
2.35, -0.11, -90.21
2.19, 0.05, -90.17
2.24, -0.08, -90.15
2.31, 0.04, -90.18
2.24, -0.1, -90.19
2.25, -0.06, -90.17
2.25, -0.09, -90.19
2.33, -0.07, -90.16
2.4, -0.12, -90.12
2.31, -0.13, -90.14
2.39, -0.05, -90.14
2.28, -0.08, -90.16
2.32, -0.05, -90.15
2.41, -0.04, -90.18
2.31, -0.01, -90.16
2.27, -0.07, -90.17
2.43, -0.04, -90.17
2.32, -0.05, -90.17
2.33, -0.07, -90.23
2.36, -0.19, -90.25
2.41, -0.11, -90.25
2.3, -0.08, -90.23
2.27, -0.1, -90.27
2.37, -0.21, -90.24
2.4, -0.1, -90.29
2.18, -0.02, -90.27
2.26, -0.05, -90.18
2.39, -0.08, -90.18
2.18, -0.16, -90.18
2.25, -0.05, -90.21
2.22, -0.08, -90.21
2.3, -0.07, -90.22
2.29, -0.04, -90.21
2.27, -0.04, -90.17
2.24, -0.04, -90.2
