a1, b1, c1, a2, b2, c2, a3, b3, c3
0.239426,-0.737213,-0.564621,0.310942,-0.738561,-0.588023,-0.071516,0.001348,0.023402,
0.414001,-0.744202,-0.590347,0.321248,-0.739125,-0.588256,0.092754,-0.005077,-0.002092,
0.315582,-0.780777,-0.538727,0.320681,-0.743290,-0.583303,-0.005099,-0.037487,0.044576,
0.257980,-0.806732,-0.494675,0.314411,-0.749635,-0.574440,-0.056431,-0.057098,0.079765,
0.295944,-0.792374,-0.496429,0.312564,-0.753908,-0.566639,-0.016620,-0.038465,0.070209,
0.296051,-0.787857,-0.522095,0.310913,-0.757303,-0.562184,-0.014862,-0.030554,0.040090,
0.294006,-0.799179,-0.518051,0.309222,-0.761491,-0.557771,-0.015216,-0.037688,0.039720,
0.250031,-0.833420,-0.506287,0.303303,-0.768684,-0.552623,-0.053273,-0.064736,0.046336,
0.271317,-0.842255,-0.519775,0.300104,-0.776041,-0.549338,-0.028788,-0.066214,0.029563,
0.284149,-0.817398,-0.521881,0.298509,-0.780177,-0.546592,-0.014360,-0.037222,0.024711,
0.272247,-0.841125,-0.496124,0.295883,-0.786271,-0.541545,-0.023635,-0.054854,0.045421,
0.279587,-0.877380,-0.467072,0.294253,-0.795382,-0.534098,-0.014666,-0.081998,0.067027,
0.255264,-0.878983,-0.452530,0.290354,-0.803742,-0.525941,-0.035090,-0.075240,0.073411,
0.299850,-0.886154,-0.463821,0.291304,-0.811984,-0.519729,0.008547,-0.074171,0.055908,
0.236252,-0.940613,-0.435287,0.285799,-0.824846,-0.511285,-0.049547,-0.115766,0.075998,
0.267044,-0.979446,-0.470978,0.283923,-0.840306,-0.507254,-0.016879,-0.139140,0.036277,
0.290802,-0.929886,-0.486084,0.284611,-0.849264,-0.505137,0.006191,-0.080621,0.019053,
0.398804,-0.971039,-0.395844,0.296030,-0.861442,-0.494208,0.102773,-0.109597,0.098364,
0.409225,-0.902252,-0.428040,0.307350,-0.865523,-0.487591,0.101876,-0.036729,0.059552,
0.485336,-0.841309,-0.399353,0.325149,-0.863101,-0.478767,0.160188,0.021793,0.079414,
0.409225,-0.869537,-0.326904,0.333556,-0.863745,-0.463581,0.075669,-0.005792,0.136677,
0.356644,-0.845627,-0.178909,0.335865,-0.861933,-0.435114,0.020779,0.016306,0.256205,
0.541275,-0.886292,-0.089844,0.356406,-0.864369,-0.400587,0.184869,-0.021922,0.310743,
0.517349,-0.846481,-0.076736,0.372500,-0.862580,-0.368202,0.144849,0.016099,0.291465,
0.461716,-0.874283,-0.036606,0.381422,-0.863751,-0.335042,0.080294,-0.010532,0.298436,
0.564499,-0.871933,-0.024719,0.399730,-0.864569,-0.304010,0.164769,-0.007364,0.279291,
0.518448,-0.792908,0.041885,0.411601,-0.857403,-0.269420,0.106847,0.064495,0.311306,
0.532898,-0.786346,0.105026,0.423731,-0.850297,-0.231976,0.109167,0.063951,0.337002,
0.605270,-0.799500,0.186722,0.441885,-0.845217,-0.190106,0.163385,0.045718,0.376828,
0.544312,-0.778717,0.201630,0.452128,-0.838567,-0.150932,0.092184,0.059850,0.352562,
0.557190,-0.728882,0.267242,0.462634,-0.827599,-0.109115,0.094556,0.098717,0.376357,
0.370300,-1.006378,0.317642,0.453400,-0.845477,-0.066439,-0.083100,-0.160902,0.384081,
