degree, fx
25, 1046.7084
18, 1357.9009
7, 767.39813
8, 835.7536
5, 441.0248
4, 498.47913
5, 653.74994
9, 1127.4216
4, 642.7343
2, 532.03156
2, 532.03156
2, 532.03156
2, 532.03156
2, 532.03156
2, 360.0647
10, 1166.5624
4, 748.2861
2, 532.03156
4, 626.7271
2, 670.7736
4, 1013.7304
2, 670.7736
4, 1031.5878
4, 762.1203
4, 710.64294
5, 618.2224
7, 670.3173
6, 505.12115
3, 625.3688
2, 641.65546
3, 898.11316
2, 555.72266
4, 708.57794
10, 552.7677
4, 533.15857
4, 843.84595
6, 995.5451
5, 817.55853
4, 721.0958
4, 808.9476
5, 636.5963
3, 326.1326
3, 326.1326
3, 382.85077
7, 621.3235
2, 282.97125
2, 312.86847
3, 337.67593
3, 397.78085
3, 359.26443
3, 194.14235
3, 323.60242
4, 429.1073
4, 485.9981
4, 381.87735
4, 361.98123
2, 220.79935
2, 197.12543
2, 189.58884
2, 227.82942
11, 669.15686
6, 467.59183
16, 1072.1172
12, 1162.1794
9, 914.37585
30, 882.83594
10, 692.881
9, 625.80817
16, 1194.0178
5, 427.78537
8, 661.8854
13, 934.59814
12, 758.73047
11, 788.9349
24, 1224.0818
2, 98.052635
2, 151.03253
2, 184.60497
2, 188.92015
2, 179.38321
2, 210.08948
2, 252.63287
2, 314.285
2, 397.45837
2, 364.79556
2, 330.16647
2, 228.70471
2, 252.63287
2, 236.61914
2, 215.85214
2, 188.14197
2, 165.75694
2, 175.45642
2, 196.72774
2, 193.18817
2, 224.64172
2, 275.4129
2, 314.285
2, 76.69926
2, 98.052635
2, 151.03253
2, 184.60497
2, 188.92015
2, 179.38321
2, 210.08948
2, 252.63287
2, 236.61914
2, 377.42014
2, 397.45837
2, 364.79556
2, 330.16647
2, 228.70471
2, 76.69926
2, 133.99565
2, 136.70848
2, 133.99565
7, 552.65015
5, 390.23187
2, 133.99565
2, 133.99565
5, 434.2305
3, 344.7317
8, 502.9841
3, 368.12555
3, 305.6282
2, 172.6479
3, 263.80582
3, 439.99554
2, 120.200905
2, 61.320415
2, 125.45437
3, 342.33377
2, 266.3319
2, 266.3319
3, 114.65512
2, 51.602345
4, 38.21727
2, 77.93508
3, 170.54152
3, 156.97485
2, 68.52797
2, 101.97326
2, 151.668
2, 158.04915
4, 160.19788
2, 201.74866
3, 170.34195
4, 273.8965
2, 300.36356
3, 43.41728
3, 18.889101
3, 18.889101
3, 18.889101
3, 18.889101
2, 81.33789
2, 52.691177
2, 341.89328
6, 566.38763
3, 463.03677
2, 470.78333
2, 563.8269
2, 501.09262
2, 501.09262
3, 424.53967
2, 501.09262
3, 615.04156
2, 632.9051
4, 956.7125
2, 498.30048
2, 498.30048
3, 531.1475
3, 627.659
2, 438.44196
3, 599.92896
3, 606.49854
3, 764.55334
3, 764.55334
3, 764.55334
2, 421.69437
7, 1018.07074
2, 470.78333
2, 498.30048
2, 707.1848
3, 972.94934
2, 707.1848
3, 764.886
6, 813.2867
12, 922.16144
4, 880.5377
6, 665.3677
2, 408.70905
7, 952.82513
5, 875.98315
12, 1086.6066
2, 408.70905
4, 471.97324
6, 699.33905
3, 482.49524
2, 140.93881
2, 443.40326
3, 185.14694
3, 184.09724
3, 188.01144
3, 248.0136
3, 543.27374
4, 584.68365
2, 222.04005
2, 285.0835
2, 298.91394
2, 222.04005
3, 375.50623
3, 398.51535
3, 406.80026
3, 374.27332
2, 458.77304
7, 772.4328
2, 19.86349
2, 9.348393
2, 9.348393
0, 0
2, 19.040272
2, 19.040272
0, 0
2, 8.678347
2, 8.678347
2, 399.2266
2, 401.12375
2, 399.18594
2, 408.035
2, 446.20486
2, 428.32034
2, 405.08395
2, 395.07477
2, 415.27652
2, 433.2691
2, 443.11658
2, 399.2266
2, 401.12375
2, 399.18594
2, 408.035
2, 446.20486
2, 428.32034
2, 405.08395
2, 395.07477
2, 415.27652
2, 433.2691
2, 443.11658
2, 399.2266
2, 401.12375
2, 399.18594
2, 408.035
2, 446.20486
2, 428.32034
2, 405.08395
2, 395.07477
2, 415.27652
2, 433.2691
2, 443.11658
2, 408.035
2, 434.9538
2, 435.49557
2, 420.01154
2, 428.32034
10, 883.00525
11, 940.73846
7, 676.468
10, 820.2784
5, 750.2621
2, 232.15787
7, 766.3208
