val, affected
0.01, 49.83815
0.021, 46.225433
0.0331, 43.797688
0.04641, 41.69364
0.061051004, 39.710983
0.077156104, 37.919075
0.094871715, 36.53179
0.11435889, 35.248554
0.13579477, 34.16185
0.15937425, 33.02312
0.18531168, 32.260117
0.21384284, 31.51445
0.24522713, 30.705202
0.27974984, 29.872833
0.31772482, 29.121387
0.3594973, 28.537573
0.40544704, 27.751446
0.45599174, 27.01156
0.5115909, 26.393064
0.57275, 25.705202
0.64002496, 24.98844
0.71402746, 24.3237
0.7954302, 23.618498
0.88497317, 22.884394
0.9834705, 22.317919
1.0918175, 21.81503
1.2109993, 21.127167
1.3420992, 20.624277
1.486309, 19.878613
1.6449399, 19.260115
1.8194339, 18.520231
2.0113773, 17.699423
2.222515, 16.710983
2.4547665, 15.809249
2.7102432, 14.913295
2.9912674, 13.982659
3.300394, 13.225433
3.6404335, 12.323699
4.014477, 11.595376
4.4259243, 10.913295
4.8785167, 10.190751
5.3763685, 9.398844
5.9240055, 8.497109
6.5264063, 7.8265896
7.189047, 7.0
7.9179516, 6.398844
8.719747, 5.6936417
9.601721, 4.9075146
10.571893, 4.2427745
11.639082, 3.815029
12.81299, 3.317919
14.104289, 2.8034682
15.524718, 2.4219654
17.08719, 1.9075145
18.80591, 1.5375723
20.6965, 1.2890173
22.776152, 0.9653179
0.25, 30.630058
0.5, 26.50289
0.75, 24.01156
1.0, 22.231215
1.25, 20.924856
1.5, 19.82659
1.75, 18.751446
2.0, 17.774567
2.25, 16.601156
2.5, 15.653179
2.75, 14.774567
3.0, 13.971098
3.25, 13.369943
3.5, 12.739884
3.75, 12.138728
4.0, 11.606936
4.25, 11.16185
4.5, 10.757225
4.75, 10.381503
5.0, 10.01156
5.25, 9.606936
5.5, 9.236994
5.75, 8.791907
6.0, 8.3641615
6.25, 8.104046
6.5, 7.855491
6.75, 7.4913297
7.0, 7.219653
7.25, 6.9421964
7.5, 6.716763
7.75, 6.4913297
8.0, 6.3236995
8.25, 6.1734104
8.5, 5.8901734
8.75, 5.6589594
9.0, 5.381503
9.25, 5.144509
9.5, 4.982659
9.75, 4.8265896
10.0, 4.630058
10.25, 4.4104047
10.5, 4.271676
10.75, 4.16763
11.0, 4.0578036
11.25, 3.9479768
11.5, 3.8728323
11.75, 3.7398844
12.0, 3.6531792
12.25, 3.5780346
12.5, 3.4855492
12.75, 3.3583815
13.0, 3.2427745
13.25, 3.132948
13.5, 3.0520232
13.75, 2.9826589
14.0, 2.83237
14.25, 2.7225432
14.5, 2.635838
14.75, 2.549133
15.0, 2.49711
15.25, 2.450867
15.5, 2.4219654
15.75, 2.3757226
16.0, 2.283237
16.25, 2.16763
16.5, 2.0924857
16.75, 2.0115607
17.0, 1.9364161
17.25, 1.849711
17.5, 1.7687861
17.75, 1.716763
18.0, 1.6763005
18.25, 1.6184971
18.5, 1.5780346
18.75, 1.5549133
19.0, 1.5086706
19.25, 1.4450867
19.5, 1.416185
19.75, 1.3815029
20.0, 1.3352602
20.25, 1.317919
20.5, 1.2890173
20.75, 1.2890173
21.0, 1.2543353
21.25, 1.2196531
21.5, 1.1676301
21.75, 1.1271676
22.0, 1.0693642
22.25, 1.017341
22.5, 0.982659
22.75, 0.97109824
23.0, 0.9537572
23.25, 0.9306358
23.5, 0.90751445
23.75, 0.89017344
24.0, 0.85549134
24.25, 0.83815026
24.5, 0.82080925
24.75, 0.7976879
25.0, 0.7803468
