val, affected
0.0, 173.0
0.25, 274.81503
0.5, 303.3815
0.75, 328.63873
1.0, 351.76013
1.25, 373.33817
1.5, 393.7139
1.75, 413.00293
2.0, 431.26593
2.25, 448.4538
2.5, 464.58096
2.75, 479.79483
3.0, 494.16766
3.25, 507.8382
3.5, 520.8931
3.75, 533.33246
4.0, 545.20526
4.25, 556.58966
4.5, 567.5492
4.75, 578.1185
5.0, 588.31506
5.25, 598.1243
5.5, 607.54626
5.75, 616.5607
6.0, 625.1388
6.25, 633.3729
6.5, 641.3527
6.75, 649.0261
7.0, 656.3816
7.25, 663.4625
7.5, 670.292
7.75, 676.89606
8.0, 683.3036
8.25, 689.5521
8.5, 695.5839
8.75, 701.3585
9.0, 706.8787
9.25, 712.1417
9.5, 717.2053
9.75, 722.1099
10.0, 726.83826
10.25, 731.35846
10.5, 735.6995
10.75, 739.9192
11.0, 744.0319
11.25, 748.0348
11.5, 751.9452
11.75, 755.7515
12.0, 759.44806
12.25, 763.06366
12.5, 766.59546
12.75, 770.0174
13.0, 773.318
13.25, 776.50586
13.5, 779.5983
13.75, 782.61566
14.0, 785.5232
14.25, 788.30066
14.5, 790.97986
14.75, 793.5723
15.0, 796.09546
15.25, 798.56946
15.5, 801.00586
15.75, 803.4047
16.0, 805.7342
16.25, 807.9596
16.5, 810.08966
16.75, 812.14166
17.0, 814.11566
17.25, 816.0087
17.5, 817.818
17.75, 819.5608
18.0, 821.2573
18.25, 822.9047
18.5, 824.503
18.75, 826.06946
19.0, 827.60126
19.25, 829.0781
19.5, 830.5088
19.75, 831.90765
20.0, 833.26605
20.25, 834.59265
20.5, 835.8961
20.75, 837.1851
21.0, 838.4568
21.25, 839.6938
21.5, 840.88745
21.75, 842.03485
22.0, 843.1331
22.25, 844.17645
22.5, 845.17645
22.75, 846.1533
23.0, 847.1157
23.25, 848.0579
23.5, 848.977
23.75, 849.87585
24.0, 850.74866
24.25, 851.59546
24.5, 852.4249
24.75, 853.2342
25.0, 854.0232
