x,num_comments,score,ups,downs,created
2555,3,0,8,10,1363517244
1736,12,7,41,34,1336711311
225,13,108,138,30,1364352780
2138,0,0,12,14,1360184168
2248,0,2,9,7,1356081143
800,2,0,1,4,1364388397
4542,26,305,380,75,1363387400
2136,5,0,10,10,1360342579
1403,10,0,14,15,1346986673
604,31,708,890,182,1364131024
1959,0,2,15,13,1346021130
4117,45,1360,2446,1086,1347923059
4733,21,179,321,142,1362005408
345,33,174,200,26,1364275426
3748,138,1546,2962,1416,1357242453
2598,0,1,4,3,1362369326
4804,9,150,178,28,1362763204
3764,242,1536,3364,1828,1334917750
1244,2,0,18,21,1356793741
2904,4,0,3,4,1362202377
1629,4,0,32,35,1315674574
3450,121,1765,2356,591,1363036962
2094,6,0,10,10,1339139277
805,5,0,4,6,1364375381
509,4,9,14,5,1364267086
2936,0,0,3,6,1363931495
2354,4,2,9,7,1364117926
51,23,156,230,74,1364443187
3319,299,1938,4367,2429,1351619777
442,4,19,35,16,1364274861
3271,118,1995,5020,3025,1351285325
2908,2,8,21,13,1364038024
405,11,17,20,3,1364293926
3846,651,1480,2912,1432,1345039820
3075,0,2,4,2,1364111121
4690,31,202,248,46,1363034534
2821,0,0,2,3,1363215518
317,0,2,5,3,1364379562
4698,39,205,318,113,1362138911
259,4,0,10,10,1364426534
3731,137,1547,3953,2406,1344614003
4713,23,197,227,30,1362342797
708,0,1,2,1,1364207643
1626,11,0,16,18,1316574456
2112,0,0,10,11,1334624815
4434,37,422,576,154,1363672863
2595,0,0,4,4,1362460877
2252,4,1,27,26,1355516630
4823,48,140,252,112,1362794422
665,23,26,62,36,1364166500
3090,0,0,1,1,1364053149
1715,1,0,12,14,1356432179
4756,15,167,193,26,1362256032
4037,132,1393,4637,3244,1319842451
637,4,23,24,1,1364183160
2980,5,7,16,9,1364087770
4717,22,193,226,33,1363651664
2803,3,1,3,2,1363485276
1487,2,11,37,26,1354116707
518,0,0,2,2,1364301141
2666,0,0,4,4,1363268513
2385,4,0,6,6,1363607263
3573,184,1650,4165,2515,1359498873
2236,11,0,8,8,1357957470
474,86,314,518,204,1364205364
819,2,0,2,4,1364337858
78,8,73,110,37,1364442144
4361,21,526,730,204,1362874083
4685,19,209,245,36,1363514942
3026,1,0,4,7,1363930871
3496,101,1727,3426,1699,1351599204
16,20,177,264,87,1364486314
1911,9,0,11,11,1336925897
788,0,0,3,5,1364444550
948,5,0,23,26,1351860185
1204,1,2,34,32,1342742337
1073,15,0,50,55,1321912576
1299,0,1,18,17,1340218362
2901,0,1,4,3,1362247439
4277,173,714,1545,831,1363405803
4246,189,827,1123,296,1362695353
690,5,2,4,2,1364201654
1749,1,0,14,15,1357103396
2847,8,3,12,9,1362829025
737,0,0,2,4,1364194800
5037,0,6,7,1,1364001906
2715,1,1,7,6,1361943303
328,0,4,5,1,1364355605
3374,94,1865,4544,2679,1359825258
1056,1,4,30,26,1327715170
4237,95,882,1254,372,1362770841
3348,77,1900,3138,1238,1355865048
2747,0,0,3,4,1364116211
2949,6,6,12,6,1364108358
1595,10,1,15,14,1322630394
4666,37,222,312,90,1362334616
965,7,0,20,24,1344580458
3689,84,1579,2868,1289,1357133633
3419,125,1806,4435,2629,1352991854
2134,1,0,13,13,1360455606
1689,15,0,27,29,1344029272
1011,3,1,24,23,1360769283
2314,4,1,10,9,1346788830
429,5,8,12,4,1364295199
3667,243,1588,3394,1806,1355574471
76,29,236,354,118,1364419400
4340,75,557,754,197,1363653317
2452,8,1,6,5,1363870826
1885,1,1,14,13,1346520391
1317,10,0,13,17,1334939178
2020,6,0,11,13,1357034181
363,12,212,241,29,1364265370
201,2,1,8,7,1364440911
2352,1,1,17,16,1362158175
1937,2,1,12,11,1357674233
55,5,6,12,6,1364503657
2240,0,0,10,11,1357286084
4961,7,24,29,5,1364008346
4879,4,121,136,15,1363414708
237,5,17,29,12,1364382185
3857,100,1468,2623,1155,1361657809
813,4,0,13,17,1364346410
4638,20,241,291,50,1362766228
2457,9,3,11,8,1363687392
3240,97,2082,5134,3052,1351536227
1031,0,3,19,16,1350525523
663,0,5,12,7,1364200093
4081,156,1371,2850,1479,1347448304
4796,15,155,176,21,1362792868
2337,20,0,11,12,1345182657
1013,10,2,19,17,1360281177
4922,22,60,89,29,1363926277
1162,3,6,28,22,1333921723
167,3,0,4,8,1364475901
3306,204,1950,6619,4669,1345998408
4957,2,30,42,12,1364093587
1457,3,0,25,27,1361247550
970,6,1,30,29,1340690132
4514,26,326,391,65,1361907681
933,10,1,22,21,1345311636
1532,2,0,16,19,1345055060
4242,31,855,1063,208,1364041308
172,21,218,265,47,1364367094
2353,0,0,7,7,1364122825
586,17,165,217,52,1364170237
774,0,0,15,18,1364462622
466,20,69,130,61,1364240143
4201,91,1103,1418,315,1363030022
4615,33,259,347,88,1363997397
855,4,0,24,24,1345579101
2891,2,3,9,6,1362345932
250,1,0,4,5,1364431313
1229,4,0,13,17,1361040487
4569,14,283,336,53,1362829640
4179,98,1236,1643,407,1363019588
4325,59,597,783,186,1362490447
570,0,0,5,8,1364276515
3369,461,1872,9168,7296,1316413112
4347,32,541,672,131,1363476045
995,12,4,41,37,1355717516
4939,5,40,59,19,1364030758
2553,1,0,3,4,1363581984
4519,34,324,378,54,1363433647
4950,7,28,42,14,1364035842
133,0,4,8,4,1364476620
2049,5,2,11,9,1345941159
