num_comments,score,ups
255,3328,8963
97,2428,5865
1155,3294,14902
839,2605,7473
269,1460,2719
612,2284,10333
451,1581,2335
438,2228,7188
2751,2593,23761
3380,2300,13552
3249,2934,16451
2930,1858,4586
884,2375,4879
387,2691,13142
1117,2163,11613
737,1894,7244
487,1857,4870
33,1253,2157
50,1898,3360
140,1560,2753
101,2146,6220
531,3795,30936
123,1791,3672
130,2351,8032
84,1685,2568
499,2473,17576
888,2458,13165
302,2739,19267
259,2655,8465
760,2602,17734
76,1386,2325
430,3251,22645
90,1936,4224
269,2322,10652
48,1137,1864
117,2468,7780
66,1145,1909
139,1831,9585
104,1998,4702
7,664,787
463,2585,8319
64,1807,4360
69,2022,4857
64,1825,3380
163,2674,11135
44,1124,2151
51,1431,2399
1351,2769,26639
106,1319,1898
223,2282,10337
630,1727,4784
77,1510,4603
83,1168,1542
678,1909,3188
9,685,850
265,2326,7778
37,1243,1674
18,1477,2414
809,1676,6972
474,2353,7790
824,2587,30092
154,954,1193
224,2231,12970
836,1970,26285
215,2254,12811
646,2353,7788
334,2506,9603
175,1785,3736
211,1472,6618
138,1290,2516
184,827,1427
28,442,525
846,2032,20172
389,2367,8483
106,1873,5842
232,2229,3898
177,2058,5526
185,671,928
49,2029,4267
113,1608,2846
2016,2336,8008
39,531,748
79,471,626
27,1212,1701
163,1815,5422
18,682,794
708,2498,26635
170,1844,9104
60,2023,9291
53,1739,2980
74,594,782
50,1958,6341
51,1879,5242
1311,1921,11530
87,993,1491
214,1767,8621
582,2064,13137
7,455,512
56,1811,4101
245,1928,5701
473,2166,15500
15,590,702
270,1208,1589
3,183,268
864,2438,13574
186,2187,10189
113,2355,5213
193,1352,2180
38,1356,2066
120,1915,5098
56,1420,2709
918,2647,18629
28,1397,2288
16,868,1276
18,254,294
100,1475,4442
115,1740,3171
422,2090,10307
755,2200,11175
269,1884,15360
33,1434,2741
187,1247,2650
46,541,686
174,1918,7306
402,2285,7483
302,2347,12781
19,765,946
353,1888,6915
222,1535,5145
580,2197,4608
6,319,364
22,1113,1831
367,1362,1819
20,585,680
1905,2515,15214
105,881,1432
302,1483,7660
11663,1990,8718
44,1464,2172
178,1180,3524
75,730,988
107,1794,4466
44,1855,6884
11,504,602
363,1651,9848
166,1733,4039
127,1951,12656
41,1768,6274
161,1602,8689
2077,2021,24293
6603,1536,3386
786,2607,16847
151,1771,6387
107,1944,5130
42,973,1574
383,1877,4989
1718,2028,14589
337,993,3222
1112,966,11091
26,868,1071
98,1969,5635
160,1889,6422
83,2234,5512
60,1710,6033
338,1571,3086
84,1143,3464
433,1395,2621
33,1611,2590
547,1885,4369
159,2352,19193
193,1916,6245
35,914,1489
844,1460,8103
174,2315,6312
229,2207,11091
3502,1275,2733
1003,1362,17640
15,731,903
336,2478,13862
397,2206,13641
919,2633,27006
17,669,1162
478,2297,12249
161,1162,4133
268,1956,6796
93,825,1527
123,1572,4285
89,252,354
647,3337,36749
33,559,683
355,1618,7000
77,1703,8043
97,1765,3024
30,924,1296
261,1370,9348
55,658,875
62,1768,3448
30,249,332
722,670,1086
9,612,793
21,791,951
226,1801,4511
350,1438,2616
102,1131,1649
62,1157,1970
1232,1733,12225
41,1015,1557
22,294,366
93,848,1121
5,508,581
389,2253,23097
4,127,136
35,1064,3179
752,2744,19316
21,886,1772
118,1126,2114
77,869,1236
203,1624,3211
10,1021,1499
613,1920,9633
152,1874,4083
147,1258,2149
99,640,827
75,1776,3785
31,616,744
577,1854,15037
257,1195,2365
162,1130,2653
51,795,1144
249,1457,2529
2706,928,1339
15,880,1072
344,1761,6418
43,1975,6559
305,902,1640
67,1743,5485
55,1681,4085
85,1046,1550
418,1542,7210
1,109,132
104,1386,2220
225,2118,11104
13,171,193
611,2470,26401
7,152,164
103,1199,1915
200,773,1058
236,2497,13757
42,361,424
238,1610,8023
78,585,947
27,59,158
755,1687,15259
254,1400,2790
3318,827,1312
46,1277,2298
892,1361,2730
99,1485,2455
28,845,1186
6,479,564
4,140,158
37,385,544
51,1855,4980
27,469,608
4527,2442,15918
182,982,1321
44,1586,3037
98,577,710
72,1351,9110
105,1365,2799
166,1259,2045
114,1211,2747
12,191,206
103,1272,3504
401,1372,1861
3,307,373
158,2348,11670
80,2380,7854
35,802,1553
74,1246,2219
38,544,703
256,2016,4991
31,365,436
37,474,636
25,1280,1976
11,306,421
54,522,746
58,339,460
89,1689,2863
135,1052,1670
1005,1417,11706
11,253,300
74,1452,4698
4506,714,1217
41,659,965
27,366,581
97,954,1734
9,723,870
105,2128,6483
32,648,805
135,335,431
98,1460,2143
51,504,625
19,605,750
97,413,494
109,405,661
82,814,1232
14,634,849
3,173,200
8,292,357
9,225,258
182,1985,7455
23,544,716
49,1155,1780
16,374,441
22,292,378
9,362,425
4,185,247
51,361,436
86,333,509
128,1286,1896
19,628,824
369,1996,11728
20,296,346
7,366,449
32,747,1080
26,436,591
2082,1821,6404
64,353,475
31,942,1658
18,952,1527
218,1914,8645
1622,2660,17459
118,1532,10277
3,84,88
21,311,399
133,420,586
4,275,394
73,1669,2839
173,118,176
460,1584,6280
5,88,99
47,1336,2297
65,218,298
110,975,1500
184,2113,8566
59,384,877
45,533,626
11,165,253
14,377,425
4,249,373
76,1237,6743
6,64,71
7,148,168
88,636,863
627,150,219
265,1434,2181
63,1798,3977
11,119,148
2358,508,780
13,275,334
6,309,393
193,1386,8365
66,182,232
335,1021,5055
5,134,151
236,588,1003
10,125,141
20,124,166
51,1197,2082
297,1319,8626
12,203,286
10,516,733
31,843,1377
930,3290,31682
78,1057,1606
44,544,689
81,549,902
23,278,370
7,190,214
34,391,508
24,195,234
75,121,192
2514,658,8863
5,142,172
55,2006,5423
32,731,924
50,1373,2238
22,153,198
309,1561,15671
17,529,739
33,138,153
3,95,151
0,69,72
1,102,113
16,315,516
454,167,295
10,127,167
182,1489,2382
719,2048,8886
8,120,133
57,1606,3338
29,190,246
25,221,284
